id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
144, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
145, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
146, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
147, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
148, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
149, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
150, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
151, 0.3260, 0.3260, 0.2214, 0.2013, 0.1521, 0.1489, 0.1462, 0.1396, 0.1584, 0.1743, 0.1950
152, 0.3260, 0.3260, 0.2214, 0.2018, 0.1535, 0.1510, 0.1478, 0.1287, 0.1613, 0.1745, 0.1980
153, 0.3260, 0.3260, 0.2214, 0.1976, 0.1979, 0.1938, 0.2304, 0.2463, 0.3643, 0.4446, 0.5038
154, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
155, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
156, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
157, 0.3260, 0.3260, 0.2214, 0.1887, 0.1722, 0.1681, 0.1630, 0.1881, 0.2084, 0.2038, 0.2006
158, 0.3260, 0.3260, 0.2214, 0.2220, 0.2387, 0.2499, 0.2848, 0.3794, 0.4355, 0.4922, 0.5107
159, 0.3683, 0.3683, 0.3085, 0.3202, 0.4456, 0.5176, 0.5625, 0.6219, 0.6228, 0.6342, 0.6371
160, 0.3260, 0.3260, 0.2587, 0.2728, 0.2913, 0.3752, 0.4622, 0.5171, 0.5487, 0.5404, 0.5216
161, 0.3260, 0.3260, 0.2214, 0.2344, 0.2384, 0.2370, 0.2805, 0.3712, 0.4278, 0.4693, 0.5047
162, 0.3260, 0.3260, 0.2214, 0.1982, 0.1565, 0.1560, 0.1514, 0.1498, 0.1678, 0.1744, 0.1903
163, 0.3511, 0.3511, 0.2894, 0.2942, 0.3133, 0.4505, 0.5379, 0.5578, 0.5489, 0.5344, 0.5243
164, 0.3260, 0.3260, 0.2706, 0.2725, 0.2815, 0.4372, 0.5249, 0.5159, 0.5033, 0.4974, 0.4869
165, 0.3260, 0.3260, 0.2214, 0.1985, 0.1562, 0.1540, 0.1507, 0.1539, 0.1665, 0.1743, 0.1905
166, 0.3260, 0.3260, 0.2214, 0.2013, 0.1699, 0.1648, 0.2274, 0.2525, 0.3615, 0.4307, 0.4859
167, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
168, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
169, 0.3260, 0.3260, 0.2214, 0.2006, 0.1559, 0.1527, 0.1501, 0.1546, 0.1654, 0.1744, 0.1914
170, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
171, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
172, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
173, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
174, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
175, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
176, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
177, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
178, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
179, 0.3260, 0.3260, 0.2214, 0.2019, 0.1551, 0.1516, 0.1491, 0.1342, 0.1637, 0.1745, 0.1981
180, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
181, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
